country,country_code,gold,silver,bronze
People's Republic of China,CHN,6,1,4
Japan,JPN,5,1,0
United States of America,USA,4,2,4
Republic of Korea,KOR,2,0,3
ROC,ROC,1,4,2
Italy,ITA,1,1,3
Australia,AUS,1,1,1
France,FRA,1,1,1
Hungary,HUN,1,1,0
Tunisia,TUN,1,1,0
Austria,AUT,1,0,0
Ecuador,ECU,1,0,0
Islamic Republic of Iran,IRI,1,0,0
Kosovo,KOS,1,0,0
Thailand,THA,1,0,0
Uzbekistan,UZB,1,0,0
Canada,CAN,0,2,0
Netherlands,NED,0,2,0
Brazil,BRA,0,1,1
Great Britain,GBR,0,1,1
Indonesia,INA,0,1,1
Serbia,SRB,0,1,1
Chinese Taipei,TPE,0,1,1
Belgium,BEL,0,1,0
Bulgaria,BUL,0,1,0
Colombia,COL,0,1,0
Spain,ESP,0,1,0
Georgia,GEO,0,1,0
India,IND,0,1,0
Romania,ROU,0,1,0
Germany,GER,0,0,2
Kazakhstan,KAZ,0,0,2
Turkey,TUR,0,0,2
Ukraine,UKR,0,0,2
Estonia,EST,0,0,1
Israel,ISR,0,0,1
Mexico,MEX,0,0,1
Mongolia,MGL,0,0,1
Slovenia,SLO,0,0,1
Switzerland,SUI,0,0,1
